PMID,Seed_cambridge,Author ,Year,subjects,x,y,z,Contrast,Direction
19765560,5,Bai,2009,56,-9,57,-12,MCI,Increase
19765560,5,Bai,2009,56,3,57,-15,MCI,Increase
19765560,5,Bai,2009,56,-6,36,33,MCI,Increase
19765560,5,Bai,2009,56,-39,33,-18,MCI,Increase
19765560,5,Bai,2009,56,-39,-18,-30,MCI,Increase
20930266,1,Bai,2011,44,-15,-45,-48,MCI,Increase
20930266,1,Bai,2011,44,-15,-45,-45,MCI,Increase
20930266,5,Bai,2011,44,3,-57,12,MCI,Increase
20930266,5,Bai,2011,44,-3,-63,9,MCI,Increase
21982164,5,Jin,2012,16,8,46,36,MCI,Increase
21982164,5,Jin,2012,16,-46,-42,54,MCI,Increase
21982164,5,Jin,2012,16,-2,-30,36,MCI,Increase
21982164,5,Jin,2012,16,4,-28,36,MCI,Increase
22005016,5,Han,2012,80,-45,-27,-27,MCI,Increase
22005016,5,Han,2012,80,-6,30,-27,MCI,Increase
22005016,5,Han,2012,80,60,12,24,MCI,Increase
22005016,5,Han,2012,80,-57,-9,36,MCI,Increase
22451310,6,Liang,2012,32,-36,57,21,MCI,Increase
22451310,6,Liang,2012,32,-45,21,39,MCI,Increase
22451310,5,Liang,2012,32,-15,-6,21,MCI,Increase
22451310,5,Liang,2012,32,-6,12,3,MCI,Increase
22451310,5,Liang,2012,32,-15,12,12,MCI,Increase
22451310,5,Liang,2012,32,-6,-12,3,MCI,Increase
22451310,5,Liang,2012,32,-9,-12,12,MCI,Increase
22451310,5,Liang,2012,32,-45,-27,15,MCI,Increase
22451310,5,Liang,2012,32,-39,-33,18,MCI,Increase
22451310,5,Liang,2012,32,6,-12,15,MCI,Increase
22451310,5,Liang,2012,32,15,-9,12,MCI,Increase
22451310,5,Liang,2012,32,9,-12,0,MCI,Increase
22451310,6,Liang,2012,32,-15,-6,21,MCI,Increase
22451310,6,Liang,2012,32,-6,12,3,MCI,Increase
22451310,6,Liang,2012,32,-15,12,12,MCI,Increase
22451310,6,Liang,2012,32,-6,-12,3,MCI,Increase
22451310,6,Liang,2012,32,-9,-12,12,MCI,Increase
22451310,6,Liang,2012,32,-45,-27,15,MCI,Increase
22451310,6,Liang,2012,32,-39,-33,18,MCI,Increase
22451310,6,Liang,2012,32,6,-12,15,MCI,Increase
22451310,6,Liang,2012,32,15,-9,12,MCI,Increase
22451310,6,Liang,2012,32,9,-12,0,MCI,Increase
22451310,7,Liang,2012,32,-15,-6,21,MCI,Increase
22451310,7,Liang,2012,32,-6,12,3,MCI,Increase
22451310,7,Liang,2012,32,-15,12,12,MCI,Increase
22451310,7,Liang,2012,32,-6,-12,3,MCI,Increase
22451310,7,Liang,2012,32,-9,-12,12,MCI,Increase
22451310,7,Liang,2012,32,-45,-27,15,MCI,Increase
22451310,7,Liang,2012,32,-39,-33,18,MCI,Increase
22451310,7,Liang,2012,32,6,-12,15,MCI,Increase
22451310,7,Liang,2012,32,15,-9,12,MCI,Increase
22451310,7,Liang,2012,32,9,-12,0,MCI,Increase
25043909,2,Pasquini,2015,44,-30,-14,-26,MCI,Increase
25547636,5,Gardini,2015,42,-1.88,-39.72,5.85,MCI,Increase
25547636,5,Gardini,2015,42,4.47,-42.82,6.03,MCI,Increase
25547636,5,Gardini,2015,42,42.33,-19.32,-29.1,MCI,Increase
25745400,5,Yi,2015,32,-20,-70,16,MCI,Increase
25745400,5,Yi,2015,32,22,-68,58,MCI,Increase
25745400,5,Yi,2015,32,56,-50,14,MCI,Increase
25745400,5,Yi,2015,32,-48,-72,18,MCI,Increase
25745400,5,Yi,2015,32,0,-50,-2,MCI,Increase
