PMID,Author ,Year,subjects,x,y,z,Contrast,Direction,
17133390,Wang,2007,28,-6,-55,5,ADMCI,Decrease,
17133390,Wang,2007,28,-6,-57,28,ADMCI,Decrease,
17133390,Wang,2007,28,-6,-57,19,ADMCI,Decrease,
17133390,Wang,2007,28,3,-62,50,ADMCI,Decrease,
17133390,Wang,2007,28,15,-55,14,ADMCI,Decrease,
17133390,Wang,2007,28,9,-63,22,ADMCI,Decrease,
17133390,Wang,2007,28,50,-48,22,ADMCI,Decrease,
17133390,Wang,2007,28,-27,20,57,ADMCI,Decrease,
17133390,Wang,2007,28,-30,29,31,ADMCI,Decrease,
18786570,Zhang,2009,32,6,55,47,ADMCI,Decrease,
18786570,Zhang,2009,32,-27,-99,-14,ADMCI,Decrease,
18786570,Zhang,2009,32,35,-95,-14,ADMCI,Decrease,
18786570,Zhang,2009,32,24,-30,66,ADMCI,Decrease,
18786570,Zhang,2009,32,38,-21,33,ADMCI,Decrease,
18786570,Zhang,2009,32,48,-12,66,ADMCI,Decrease,
18786570,Zhang,2009,32,54,-38,-25,ADMCI,Decrease,
18786570,Zhang,2009,32,-58,-16,-27,ADMCI,Decrease,
18786570,Zhang,2009,32,-21,-27,-9,ADMCI,Decrease,
18786570,Zhang,2009,32,15,-18,15,ADMCI,Decrease,
18786570,Zhang,2009,32,-22,-70,60,ADMCI,Decrease,
20656843,Zhang,2010,27,-28,39,39,ADMCI,Decrease,
20656843,Zhang,2010,27,-27,57,27,ADMCI,Decrease,
20656843,Zhang,2010,27,-24,-95,-9,ADMCI,Decrease,
20656843,Zhang,2010,27,30,-80,-15,ADMCI,Decrease,
20656843,Zhang,2010,27,50,0,61,ADMCI,Decrease,
20656843,Zhang,2010,27,48,-12,66,ADMCI,Decrease,
20656843,Zhang,2010,27,54,-45,-27,ADMCI,Decrease,
20656843,Zhang,2010,27,24,-72,45,ADMCI,Decrease,
20656843,Zhang,2010,27,-6,-63,58,ADMCI,Decrease,
20656843,Zhang,2010,28,-3,60,27,ADMCI,Decrease,
20656843,Zhang,2010,28,22,56,27,ADMCI,Decrease,
20656843,Zhang,2010,28,-21,63,9,ADMCI,Decrease,
20656843,Zhang,2010,28,33,-23,66,ADMCI,Decrease,
20656843,Zhang,2010,28,39,1,60,ADMCI,Decrease,
20656843,Zhang,2010,28,0,-57,42,ADMCI,Decrease,
20656843,Zhang,2010,28,6,-69,48,ADMCI,Decrease,
20656843,Zhang,2010,28,0,-96,28,ADMCI,Decrease,
20656843,Zhang,2010,28,-18,-98,-9,ADMCI,Decrease,
20656843,Zhang,2010,28,35,-84,-10,ADMCI,Decrease,
19833321,Sheline,2010,83,-21.32,-39.2,-15.03,ADMCI,Decrease,
19833321,Sheline,2010,83,-27.85,-28.38,-25.9,ADMCI,Decrease,
19833321,Sheline,2010,83,-16.94,30.06,27.06,ADMCI,Decrease,
19833321,Sheline,2010,83,-4.51,13.97,-30.84,ADMCI,Decrease,
19833321,Sheline,2010,83,-23.11,-3.75,44.47,ADMCI,Decrease,
19833321,Sheline,2010,83,-5.87,-39.52,48.38,ADMCI,Decrease,
20410145,Zhou,2010,24,-14,-58,0,ADMCI,Decrease,
20410145,Zhou,2010,24,-14,-68,22,ADMCI,Decrease,
20410145,Zhou,2010,24,-9,-59,16,ADMCI,Decrease,
20410145,Zhou,2010,24,-22,-32,-4,ADMCI,Decrease,
20410145,Zhou,2010,24,-8,-20,-12,ADMCI,Decrease,
20410145,Zhou,2010,24,-14,-58,0,ADMCI,Decrease,
20410145,Zhou,2010,24,-14,-68,22,ADMCI,Decrease,
20410145,Zhou,2010,24,-9,-59,16,ADMCI,Decrease,
20410145,Zhou,2010,24,34,20,42,ADMCI,Decrease,
20410145,Zhou,2010,24,-56,-5,-12,ADMCI,Decrease,
20410145,Zhou,2010,24,-22,-10,-24,ADMCI,Decrease,
20410145,Zhou,2010,24,2,-40,8,ADMCI,Decrease,
20410145,Zhou,2010,24,58,-56,24,ADMCI,Decrease,
20410145,Zhou,2010,24,17,-62,21,ADMCI,Decrease,
20410145,Zhou,2010,24,0,-26,30,ADMCI,Decrease,
20410145,Zhou,2010,24,-22,-32,-4,ADMCI,Decrease,
20410145,Zhou,2010,24,32,-10,2,ADMCI,Decrease,
20410145,Zhou,2010,24,-8,-20,-12,ADMCI,Decrease,
20410145,Zhou,2010,24,4,-14,-2,ADMCI,Decrease,
20410145,Zhou,2010,24,0,-32,-14,ADMCI,Decrease,
20410145,Zhou,2010,24,0,-32,-14,ADMCI,Decrease,
20410145,Zhou,2010,24,-10,-38,-38,ADMCI,Decrease,
21259382,Wu,2011,31,-1.87,-43.46,10.75,ADMCI,Decrease,
21259382,Wu,2011,31,4.22,48.83,6.29,ADMCI,Decrease,
21259382,Wu,2011,31,-51.92,-50.68,32,ADMCI,Decrease,
21259382,Wu,2011,31,-55.55,-22.15,-11.61,ADMCI,Decrease,
21259382,Wu,2011,31,-34.24,-20.5,-19.8,ADMCI,Decrease,
21259382,Wu,2011,31,26.69,-18.83,-17.29,ADMCI,Decrease,
21259382,Wu,2011,31,-36,-63,56,ADMCI,Decrease,
21259382,Wu,2011,31,-45,6,32,ADMCI,Decrease,
21259382,Wu,2011,31,-3,30,40,ADMCI,Decrease,
21259382,Wu,2011,31,54,-30,52,ADMCI,Decrease,
21259382,Wu,2011,31,45,12,28,ADMCI,Decrease,
