PMID,Seed_cambridge,Author ,Year,subjects,x,y,z,Contrast,Direction,
18003904,5,Sorg,2007,40,6,63,27,MCI,Decrease,
18003904,5,Sorg,2007,40,-6,-54,24,MCI,Decrease,
18003904,5,Sorg,2007,40,0,-54,15,MCI,Decrease,
18003904,5,Sorg,2007,40,-45,-69,36,MCI,Decrease,
18003904,5,Sorg,2007,40,51,-66,33,MCI,Decrease,
18003904,7,Sorg,2007,40,45,3,57,MCI,Decrease, 
18003904,7,Sorg,2007,40,54,9,45,MCI,Decrease, 
18003904,7,Sorg,2007,40,54,-3,48,MCI,Decrease,
18003904,7,Sorg,2007,40,36,45,33,MCI,Decrease,
18003904,7,Sorg,2007,40,33,51,27,MCI,Decrease,
18003904,7,Sorg,2007,40,33,42,24,MCI,Decrease,
18003904,7,Sorg,2007,40,57,12,-6,MCI,Decrease,
18003904,7,Sorg,2007,40,63,-30,30,MCI,Decrease,
18003904,7,Sorg,2007,40,57,-21,51,MCI,Decrease, 
18003904,7,Sorg,2007,40,66,-24,18,MCI,Decrease,
18003904,7,Sorg,2007,40,-63,-30,24,MCI,Decrease,
18003904,7,Sorg,2007,40,-54,-30,48,MCI,Decrease,
18003904,7,Sorg,2007,40,-60,-18,42,MCI,Decrease,
18003904,7,Sorg,2007,40,3,12,48,MCI,Decrease,
18003904,7,Sorg,2007,40,6,6,36,MCI,Decrease,
18003904,7,Sorg,2007,40,9,0,48,MCI,Decrease,
19765560,5,Bai,2009,56,-45,-75,9,MCI,Decrease,
19765560,5,Bai,2009,56,-57,3,-18,MCI,Decrease,
19765560,5,Bai,2009,56,-36,-78,24,MCI,Decrease,
19765560,5,Bai,2009,56,45,0,-24,MCI,Decrease,
19765560,5,Bai,2009,56,42,-66,-18,MCI,Decrease,
20639384,5,Gili,2011,20,2,46,14,MCI,Decrease,
20639384,5,Gili,2011,20,2,46,30,MCI,Decrease,
20639384,5,Gili,2011,20,4,-30,36,MCI,Decrease,
25511078,6,Xie,2014,56,22.93,-94.79,19.23,MCI,Decrease,
25511078,6,Xie,2014,56,5.77,-97.69,10.75,MCI,Decrease,
25511078,6,Xie,2014,56,-16.76,-66.99,10.66,MCI,Decrease,
25511078,6,Xie,2014,56,38.01,-75.89,42.01,MCI,Decrease,
25511078,6,Xie,2014,56,-46.1,43.18,-7.16,MCI,Decrease,
25511078,7,Xie,2014,56,-61.61,-31.71,30.52,MCI,Decrease,
25511078,7,Xie,2014,56,-40.4,39.24,37.71,MCI,Decrease,
25511078,7,Xie,2014,56,28.33,3.64,66.67,MCI,Decrease,
25511078,7,Xie,2014,56,-7.11,13.69,48.4,MCI,Decrease,
