,PMID,Author ,Year,Cambridge_Scale7_label,x,y,z
0,17133390,Wang,2007,5.0,,,
1,18786570,Zhang,2009,5.0,,,
2,18786570,Zhang,2010,5.0,,,
3,20656843,Zhang,2010,5.0,,,
4,20656843,Zhang,2010,5.0,,,
5,19833321,Sheline,2010,5.0,,,
6,19833321,Sheline,2010,5.0,,,
7,20410145,Zhou,2010,5.0,,,
8,20410145,Zhou,2010,6.0,,,
9,20639384,Gili,2011,5.0,,,
10,20639384,Gili,2011,5.0,,,
11,22189566,Kenny,2012,2.0,,,
12,22189566,Kenny,2012,2.0,,,
13,22189566,Kenny,2012,5.0,,,
14,22189566,Kenny,2012,5.0,,,
15,22189566,Kenny,2012,5.0,,,
16,22189566,Kenny,2012,5.0,,,
17,22189566,Kenny,2012,4.0,,,
18,22189566,Kenny,2012,4.0,,,
19,23313926,Zhu,2013,5.0,,,
20,23313926,Zhu,2013,5.0,,,
21,23313926,Zhu,2013,2.0,,,
22,23313926,Zhu,2013,2.0,,,
23,23643516,Yao,2013,2.0,,,
24,23643516,Yao,2013,2.0,,,
25,23643516,Zhou,2013,7.0,,,
26,23643516,Zhou,2013,7.0,,,
27,23643516,Zhang,2014,7.0,,,
28,23643516,Zhang,2014,7.0,,,
29,24123475,Gour,2014,5.0,,,
30,24123475,Gour,2014,7.0,-24.0,-10.0,22.0
31,24123475,Gour,2014,2.0,,,
32,24123475,Gour,2014,6.0,,,
33,24123475,Gour,2014,6.0,,,
34,24484280,Weiler,2014,5.0,,,
35,24484280,Weiler,2014,5.0,,,
36,24484280,Weiler,2014,7.0,,,
37,24484280,Weiler,2014,6.0,,,
38,24484280,Weiler,2014,6.0,,,
39,24484280,Weiler,2014,4.0,,,
40,24484280,Weiler,2014,4.0,,,
41,21259382,Wu,2011,5.0,,,
42,21259382,Wu,2011,5.0,,,
43,21259382,Wu,2011,5.0,,,
44,21259382,Wu,2011,6.0,,,
45,21259382,Wu,2011,5.0,,,
46,21259382,Wu,2011,5.0,,,
47,21259382,Wu,2011,2.0,,,
48,21259382,Wu,2011,2.0,,,
49,21259382,Wu,2011,6.0,,,
50,21259382,Wu,2011,5.0,,,
51,21259382,Wu,2011,5.0,,,
52,21259382,Wu,2011,6.0,,,
53,21259382,Wu,2011,5.0,,,
54,21259382,Wu,2011,5.0,,,
55,21259382,Li,2012,6.0,,,
56,21259382,Li,2012,6.0,,,
57,21259382,Li,2012,6.0,,,
58,21259382,Li,2012,6.0,,,
59,21259382,Li,2012,6.0,,,
60,21259382,Li,2012,5.0,,,
61,21259382,Li,2012,6.0,,,
62,21259382,Li,2012,6.0,,,
63,21259382,Li,2012,6.0,,,
64,21259382,Li,2012,6.0,,,
65,21259382,Li,2012,5.0,,,
66,21259382,Li,2012,5.0,,,
67,21259382,Li,2012,6.0,,,
68,21259382,Li,2012,5.0,,,
69,21259382,Li,2012,6.0,,,
70,21259382,Li,2012,6.0,,,
71,21259382,Li,2012,5.0,,,
72,21259382,Li,2012,6.0,,,
73,21259382,Li,2012,6.0,,,
74,21840627,Damoiseaux,2013,5.0,,,
75,21840627,Damoiseaux,2013,5.0,62.0,-64.0,20.0
76,21840627,Damoiseaux,2013,5.0,,,
77,21840627,Damoiseaux,2013,2.0,,,
78,21840627,Damoiseaux,2013,2.0,,,
79,21840627,Damoiseaux,2013,5.0,,,
80,21840627,Damoiseaux,2013,1.0,,,
81,21840627,Damoiseaux,2013,1.0,,,
82,21840627,Damoiseaux,2013,4.0,,,
83,21840627,Damoiseaux,2013,1.0,,,
84,21840627,Damoiseaux,2013,5.0,,,
85,21840627,Damoiseaux,2013,5.0,,,
86,21840627,Damoiseaux,2013,5.0,,,
87,21840627,Damoiseaux,2013,5.0,,,
88,21840627,Damoiseaux,2013,6.0,62.0,-40.0,52.0
89,21840627,Damoiseaux,2013,6.0,,,
90,21840627,Damoiseaux,2013,1.0,,,
91,21840627,Damoiseaux,2013,7.0,,,
92,21840627,Damoiseaux,2013,7.0,,,
93,21840627,Damoiseaux,2013,6.0,,,
94,21840627,Damoiseaux,2013,7.0,,,
95,21840627,Damoiseaux,2013,5.0,,,
96,21840627,Damoiseaux,2013,2.0,56.0,16.0,-16.0
97,21840627,Damoiseaux,2013,6.0,,,
98,21840627,Damoiseaux,2013,5.0,,,
99,21840627,Damoiseaux,2013,6.0,,,
100,21840627,Damoiseaux,2013,6.0,,,
101,21840627,Damoiseaux,2013,4.0,54.0,-82.0,14.0
102,21840627,Damoiseaux,2013,6.0,,,
103,21840627,Damoiseaux,2013,6.0,56.0,16.0,34.0
104,21840627,Damoiseaux,2013,6.0,,,
105,21840627,Damoiseaux,2013,4.0,,,
106,21840627,Damoiseaux,2013,1.0,,,
107,21840627,Damoiseaux,2013,7.0,,,
108,21840627,Damoiseaux,2013,7.0,,,
109,21840627,Damoiseaux,2013,1.0,,,
110,21840627,Damoiseaux,2013,5.0,,,
111,21840627,Damoiseaux,2013,5.0,,,
112,21840627,Damoiseaux,2013,1.0,,,
113,21840627,Damoiseaux,2013,7.0,,,
114,21840627,Damoiseaux,2013,2.0,,,
115,21840627,Damoiseaux,2013,1.0,,,
116,21840627,Damoiseaux,2013,6.0,,,
117,21840627,Damoiseaux,2013,1.0,10.0,-28.0,-32.0
118,21840627,Damoiseaux,2013,4.0,,,
119,21840627,Damoiseaux,2013,7.0,,,
120,21840627,Damoiseaux,2013,6.0,,,
121,21840627,Damoiseaux,2013,3.0,,,
122,21840627,Damoiseaux,2013,5.0,4.0,30.0,64.0
123,21840627,Damoiseaux,2013,4.0,,,
124,21840627,Damoiseaux,2013,5.0,,,
125,21840627,Damoiseaux,2013,6.0,,,
126,21840627,Damoiseaux,2013,6.0,,,
127,21840627,Damoiseaux,2013,5.0,,,
128,21840627,Damoiseaux,2013,7.0,16.0,-24.0,-4.0
129,21840627,Damoiseaux,2013,7.0,10.0,24.0,0.0
130,21840627,Damoiseaux,2013,6.0,,,
131,21840627,Damoiseaux,2013,1.0,,,
132,21840627,Damoiseaux,2013,7.0,-14.0,-24.0,-4.0
133,21840627,Damoiseaux,2013,6.0,,,
134,21840627,Damoiseaux,2013,7.0,,,
135,21862179,Binnewijzend,2012,6.0,,,
136,21862179,Binnewijzend,2012,6.0,,,
137,21862179,Binnewijzend,2012,3.0,,,
138,21862179,Binnewijzend,2012,4.0,,,
139,21862179,Binnewijzend,2012,4.0,,,
140,21862179,Binnewijzend,2012,1.0,,,
141,21862179,Binnewijzend,2012,7.0,,,
142,21862179,Binnewijzend,2012,5.0,,,
143,21862179,Binnewijzend,2012,6.0,,,
144,21862179,Binnewijzend,2012,7.0,,,
145,21862179,Binnewijzend,2012,7.0,,,
146,21862179,Binnewijzend,2012,5.0,,,
147,21862179,Binnewijzend,2012,5.0,,,
148,23418130,Balthazar,2014,6.0,,,
149,23418130,Balthazar,2014,5.0,,,
150,23418130,Balthazar,2014,7.0,,,
151,23418130,Balthazar,2014,7.0,,,
152,24990445,Balachandar,2015,5.0,,,
153,24990445,Balachandar,2015,7.0,,,
154,24990445,Balachandar,2015,5.0,,,
155,25043909,Pasquini,2015,5.0,,,
156,25043909,Pasquini,2015,5.0,,,
