,Unnamed: 0,PMID,Author ,Year,Cambridge_Scale7_label,x,y,z
0,0,17133390,Wang,2007,5.0,,,
1,1,18786570,Zhang,2009,5.0,,,
2,2,20656843,Zhang,2010,5.0,,,
3,3,20656843,Zhang,2010,5.0,,,
4,4,19833321,Sheline,2010,5.0,,,
5,5,19833321,Sheline,2010,5.0,,,
6,6,20410145,Zhou,2010,5.0,,,
7,7,20410145,Zhou,2010,6.0,,,
8,8,20639384,Gili,2011,5.0,,,
9,9,20639384,Gili,2011,5.0,,,
10,10,22189566,Kenny,2012,2.0,,,
11,11,22189566,Kenny,2012,2.0,,,
12,12,22189566,Kenny,2012,5.0,,,
13,13,22189566,Kenny,2012,5.0,,,
14,14,22189566,Kenny,2012,5.0,,,
15,15,22189566,Kenny,2012,5.0,,,
16,16,22189566,Kenny,2012,4.0,,,
17,17,22189566,Kenny,2012,4.0,,,
18,18,23313926,Zhu,2013,5.0,,,
19,19,23313926,Zhu,2013,5.0,,,
20,20,23313926,Zhu,2013,2.0,,,
21,21,23313926,Zhu,2013,2.0,,,
22,22,23643516,Yao,2013,2.0,,,
23,23,23643516,Yao,2013,2.0,,,
24,24,23643516,Zhou,2013,7.0,,,
25,25,23643516,Zhou,2013,7.0,,,
26,26,23643516,Zhang,2014,7.0,,,
27,27,23643516,Zhang,2014,7.0,,,
28,28,24123475,Gour,2014,5.0,,,
29,29,24123475,Gour,2014,7.0,-24.0,-10.0,22.0
30,30,24123475,Gour,2014,2.0,,,
31,31,24123475,Gour,2014,6.0,,,
32,32,24123475,Gour,2014,6.0,,,
33,33,24484280,Weiler,2014,5.0,,,
34,34,24484280,Weiler,2014,5.0,,,
35,35,24484280,Weiler,2014,7.0,,,
36,36,24484280,Weiler,2014,6.0,,,
37,37,24484280,Weiler,2014,6.0,,,
38,38,24484280,Weiler,2014,4.0,,,
39,39,24484280,Weiler,2014,4.0,,,
40,40,21259382,Wu,2011,5.0,,,
41,41,21259382,Wu,2011,5.0,,,
42,42,21259382,Wu,2011,5.0,,,
43,43,21259382,Wu,2011,6.0,,,
44,44,21259382,Wu,2011,5.0,,,
45,45,21259382,Wu,2011,5.0,,,
46,46,21259382,Wu,2011,2.0,,,
47,47,21259382,Wu,2011,2.0,,,
48,48,21259382,Wu,2011,6.0,,,
49,49,21259382,Wu,2011,5.0,,,
50,50,21259382,Wu,2011,5.0,,,
51,51,21259382,Wu,2011,6.0,,,
52,52,21259382,Wu,2011,5.0,,,
53,53,21259382,Wu,2011,5.0,,,
54,54,21259382,Li,2012,6.0,,,
55,55,21259382,Li,2012,6.0,,,
56,56,21259382,Li,2012,6.0,,,
57,57,21259382,Li,2012,6.0,,,
58,58,21259382,Li,2012,6.0,,,
59,59,21259382,Li,2012,5.0,,,
60,60,21259382,Li,2012,6.0,,,
61,61,21259382,Li,2012,6.0,,,
62,62,21259382,Li,2012,6.0,,,
63,63,21259382,Li,2012,6.0,,,
64,64,21259382,Li,2012,5.0,,,
65,65,21259382,Li,2012,5.0,,,
66,66,21259382,Li,2012,6.0,,,
67,67,21259382,Li,2012,5.0,,,
68,68,21259382,Li,2012,6.0,,,
69,69,21259382,Li,2012,6.0,,,
70,70,21259382,Li,2012,5.0,,,
71,71,21259382,Li,2012,6.0,,,
72,72,21259382,Li,2012,6.0,,,
73,73,21840627,Damoiseaux,2013,5.0,,,
74,74,21840627,Damoiseaux,2013,5.0,62.0,-64.0,20.0
75,75,21840627,Damoiseaux,2013,5.0,,,
76,76,21840627,Damoiseaux,2013,2.0,,,
77,77,21840627,Damoiseaux,2013,2.0,,,
78,78,21840627,Damoiseaux,2013,5.0,,,
79,79,21840627,Damoiseaux,2013,1.0,,,
80,80,21840627,Damoiseaux,2013,1.0,,,
81,81,21840627,Damoiseaux,2013,4.0,,,
82,82,21840627,Damoiseaux,2013,1.0,,,
83,83,21840627,Damoiseaux,2013,5.0,,,
84,84,21840627,Damoiseaux,2013,5.0,,,
85,85,21840627,Damoiseaux,2013,5.0,,,
86,86,21840627,Damoiseaux,2013,5.0,,,
87,87,21840627,Damoiseaux,2013,6.0,62.0,-40.0,52.0
88,88,21840627,Damoiseaux,2013,6.0,,,
89,89,21840627,Damoiseaux,2013,1.0,,,
90,90,21840627,Damoiseaux,2013,7.0,,,
91,91,21840627,Damoiseaux,2013,7.0,,,
92,92,21840627,Damoiseaux,2013,6.0,,,
93,93,21840627,Damoiseaux,2013,7.0,,,
94,94,21840627,Damoiseaux,2013,5.0,,,
95,95,21840627,Damoiseaux,2013,2.0,56.0,16.0,-16.0
96,96,21840627,Damoiseaux,2013,6.0,,,
97,97,21840627,Damoiseaux,2013,5.0,,,
98,98,21840627,Damoiseaux,2013,6.0,,,
99,99,21840627,Damoiseaux,2013,6.0,,,
100,100,21840627,Damoiseaux,2013,4.0,54.0,-82.0,14.0
101,101,21840627,Damoiseaux,2013,6.0,,,
102,102,21840627,Damoiseaux,2013,6.0,56.0,16.0,34.0
103,103,21840627,Damoiseaux,2013,6.0,,,
104,104,21840627,Damoiseaux,2013,4.0,,,
105,105,21840627,Damoiseaux,2013,1.0,,,
106,106,21840627,Damoiseaux,2013,7.0,,,
107,107,21840627,Damoiseaux,2013,7.0,,,
108,108,21840627,Damoiseaux,2013,1.0,,,
109,109,21840627,Damoiseaux,2013,5.0,,,
110,110,21840627,Damoiseaux,2013,5.0,,,
111,111,21840627,Damoiseaux,2013,1.0,,,
112,112,21840627,Damoiseaux,2013,7.0,,,
113,113,21840627,Damoiseaux,2013,2.0,,,
114,114,21840627,Damoiseaux,2013,1.0,,,
115,115,21840627,Damoiseaux,2013,6.0,,,
116,116,21840627,Damoiseaux,2013,1.0,10.0,-28.0,-32.0
117,117,21840627,Damoiseaux,2013,4.0,,,
118,118,21840627,Damoiseaux,2013,7.0,,,
119,119,21840627,Damoiseaux,2013,6.0,,,
120,120,21840627,Damoiseaux,2013,3.0,,,
121,121,21840627,Damoiseaux,2013,5.0,4.0,30.0,64.0
122,122,21840627,Damoiseaux,2013,4.0,,,
123,123,21840627,Damoiseaux,2013,5.0,,,
124,124,21840627,Damoiseaux,2013,6.0,,,
125,125,21840627,Damoiseaux,2013,6.0,,,
126,126,21840627,Damoiseaux,2013,5.0,,,
127,127,21840627,Damoiseaux,2013,7.0,16.0,-24.0,-4.0
128,128,21840627,Damoiseaux,2013,7.0,10.0,24.0,0.0
129,129,21840627,Damoiseaux,2013,6.0,,,
130,130,21840627,Damoiseaux,2013,1.0,,,
131,131,21840627,Damoiseaux,2013,7.0,-14.0,-24.0,-4.0
132,132,21840627,Damoiseaux,2013,6.0,,,
133,133,21840627,Damoiseaux,2013,7.0,,,
134,134,21862179,Binnewijzend,2012,6.0,,,
135,135,21862179,Binnewijzend,2012,6.0,,,
136,136,21862179,Binnewijzend,2012,3.0,,,
137,137,21862179,Binnewijzend,2012,4.0,,,
138,138,21862179,Binnewijzend,2012,4.0,,,
139,139,21862179,Binnewijzend,2012,1.0,,,
140,140,21862179,Binnewijzend,2012,7.0,,,
141,141,21862179,Binnewijzend,2012,5.0,,,
142,142,21862179,Binnewijzend,2012,6.0,,,
143,143,21862179,Binnewijzend,2012,7.0,,,
144,144,21862179,Binnewijzend,2012,7.0,,,
145,145,21862179,Binnewijzend,2012,5.0,,,
146,146,21862179,Binnewijzend,2012,5.0,,,
147,147,23418130,Balthazar,2014,6.0,,,
148,148,23418130,Balthazar,2014,5.0,,,
149,149,23418130,Balthazar,2014,7.0,,,
150,150,23418130,Balthazar,2014,7.0,,,
151,151,24990445,Balachandar,2015,5.0,,,
152,152,24990445,Balachandar,2015,7.0,,,
153,153,24990445,Balachandar,2015,5.0,,,
154,154,25043909,Pasquini,2015,5.0,,,
155,155,25043909,Pasquini,2015,5.0,,,
156,156,25043909,Pasquini,2015,5.0,,,
157,157,25043909,Pasquini,2015,6.0,,,
158,158,25043909,Pasquini,2015,5.0,,,
159,159,25043909,Pasquini,2015,5.0,,,
160,160,25043909,Pasquini,2015,2.0,,,
161,161,25043909,Pasquini,2015,1.0,,,
162,162,25043909,Pasquini,2015,1.0,,,
163,163,25043909,Pasquini,2015,2.0,,,
164,164,25043909,Pasquini,2015,2.0,,,
165,165,25043909,Pasquini,2015,2.0,17.0,-14.0,-22.0
166,166,25043909,Pasquini,2015,2.0,,,
167,167,25043909,Pasquini,2015,5.0,,,
168,168,25043909,Pasquini,2015,5.0,,,
169,169,25043909,Pasquini,2015,1.0,-3.0,-29.0,-28.0
170,170,25043909,Pasquini,2015,1.0,3.0,-29.0,-28.0
171,171,25043909,Pasquini,2015,5.0,,,
172,172,25043909,Pasquini,2015,5.0,,,
173,173,25043909,Pasquini,2015,1.0,,,
174,174,25043909,Pasquini,2015,5.0,,,
175,175,25080229,Adriaanse,2014,4.0,,,
176,176,25080229,Adriaanse,2014,5.0,,,
177,177,25080229,Adriaanse,2014,4.0,,,
178,178,25080229,Adriaanse,2014,5.0,,,
179,179,25080229,Adriaanse,2014,7.0,,,
180,180,25080229,Adriaanse,2014,6.0,,,
181,181,25080229,Adriaanse,2014,6.0,,,
182,182,25080229,Adriaanse,2014,3.0,,,
183,183,25745400,Yi,2015,5.0,,,
184,184,25745400,Yi,2015,7.0,,,
185,0,19765560,Bai,2009,5.0,,,
186,1,20639384,Gili,2011,5.0,,,
187,2,20639384,Gili,2011,5.0,,,
188,3,20930266,Bai,2011,5.0,,,
189,4,25511078,Xie,2014,3.0,,,
190,5,25511078,Xie,2014,6.0,,,
191,6,25511078,Xie,2014,6.0,,,
192,7,25511078,Xie,2014,6.0,,,
193,8,25511078,Xie,2014,6.0,,,
194,9,25511078,Xie,2014,7.0,,,
195,10,25511078,Xie,2014,7.0,,,
196,11,25511078,Xie,2014,2.0,,,
197,12,22005016,Han,2012,5.0,,,
198,13,22451310,Liang,2012,6.0,,,
199,14,22451310,Liang,2012,6.0,,,
200,15,22451310,Liang,2012,6.0,,,
201,16,22451310,Liang,2012,5.0,,,
202,17,22451310,Liang,2012,6.0,,,
203,18,22451310,Liang,2012,7.0,,,
204,19,22451310,Liang,2012,6.0,,,
205,20,22451310,Liang,2012,5.0,,,
206,21,22451310,Liang,2012,7.0,,,
207,22,22451310,Liang,2012,6.0,,,
208,23,22451310,Liang,2012,5.0,,,
209,24,25444600,Das,2015,2.0,,,
