PMID,Seed_cambridge,Author ,Year,subjects,x,y,z,Contrast,Direction
18786570,5,Zhang,2009,32,-13,54,23,ADMCI,Increase
18786570,5,Zhang,2009,32,-45,33,48,ADMCI,Increase
18786570,5,Zhang,2009,32,-45,24,18,ADMCI,Increase
18786570,5,Zhang,2009,32,-51,3,15,ADMCI,Increase
18786570,5,Zhang,2009,32,57,42,24,ADMCI,Increase
18786570,5,Zhang,2009,32,12,57,-15,ADMCI,Increase
18786570,5,Zhang,2009,32,-33,-9,-36,ADMCI,Increase
20656843,5,Zhang,2010,27,-33,-13,43,ADMCI,Increase
20656843,5,Zhang,2010,27,-39,-15,42,ADMCI,Increase
20656843,5,Zhang,2010,27,51,24,9,ADMCI,Increase
20656843,5,Zhang,2010,27,15,9,51,ADMCI,Increase
20656843,5,Zhang,2010,27,-12,39,54,ADMCI,Increase
20656843,5,Zhang,2010,27,37,-85,30,ADMCI,Increase
20656843,5,Zhang,2010,27,-52,-61,45,ADMCI,Increase
20656843,5,Zhang,2010,27,-30,-12,-21,ADMCI,Increase
20656843,5,Zhang,2010,28,-15,0,51,ADMCI,Increase
20656843,5,Zhang,2010,28,-30,33,34,ADMCI,Increase
20656843,5,Zhang,2010,28,15,6,51,ADMCI,Increase
20656843,5,Zhang,2010,28,18,-13,58,ADMCI,Increase
20656843,5,Zhang,2010,28,-42,48,24,ADMCI,Increase
20656843,5,Zhang,2010,28,51,28,12,ADMCI,Increase
20656843,5,Zhang,2010,28,52,20,28,ADMCI,Increase
20656843,5,Zhang,2010,28,-45,-35,49,ADMCI,Increase
20656843,5,Zhang,2010,28,57,-39,42,ADMCI,Increase
19833321,5,Sheline,2010,83,7.91,-102.08,8.86,ADMCI,Increase
20410145,6,Zhou,2010,24,12,32,30,ADMCI,Increase
20410145,6,Zhou,2010,24,-12,34,16,ADMCI,Increase
20410145,6,Zhou,2010,24,10,34,-6,ADMCI,Increase
20410145,6,Zhou,2010,24,-26,-12,10,ADMCI,Increase
20410145,6,Zhou,2010,24,-18,-2,10,ADMCI,Increase
20410145,6,Zhou,2010,24,-12,8,6,ADMCI,Increase
20410145,6,Zhou,2010,24,12,32,30,ADMCI,Increase
20410145,6,Zhou,2010,24,-12,34,16,ADMCI,Increase
20410145,6,Zhou,2010,24,44,18,4,ADMCI,Increase
20410145,6,Zhou,2010,24,-26,-12,10,ADMCI,Increase
20410145,6,Zhou,2010,24,-18,-2,10,ADMCI,Increase
20410145,6,Zhou,2010,24,-12,8,6,ADMCI,Increase
20410145,6,Zhou,2010,24,26,18,8,ADMCI,Increase
21840627,5,Damoiseaux,2012,39,-10,58,4,ADMCI,Increase
21840627,5,Damoiseaux,2012,39,24,36,44,ADMCI,Increase
21840627,5,Damoiseaux,2012,39,-8,22,56,ADMCI,Increase
21840627,5,Damoiseaux,2012,39,-6,-56,54,ADMCI,Increase
21840627,5,Damoiseaux,2012,39,4,-58,40,ADMCI,Increase
22189566,2,Kenny,2012,32,53.08,-30.69,24.89,ADMCI,Increase
22189566,2,Kenny,2012,32,42.54,-37.15,24.28,ADMCI,Increase
23418130,7,Balthazar,2014,37,18,20,38,ADMCI,Increase
23418130,7,Balthazar,2014,37,-8,32,38,ADMCI,Increase
23643516,7,Yao,2013,62,46,-56,2,ADMCI,Increase
23643516,7,Yao,2013,62,34,-74,-4,ADMCI,Increase
23643516,7,Yao,2013,62,20,-84,-8,ADMCI,Increase
23643516,7,Yao,2013,62,-22,-48,0,ADMCI,Increase
23643516,7,Yao,2013,62,-32,-68,-6,ADMCI,Increase
23643516,7,Yao,2013,62,-28,-54,-2,ADMCI,Increase
23643516,7,Yao,2013,62,-22,-64,60,ADMCI,Increase
23643516,7,Yao,2013,62,-28,-50,64,ADMCI,Increase
23643516,7,Yao,2013,62,-22,-55,66,ADMCI,Increase
23643516,7,Yao,2013,62,34,-48,64,ADMCI,Increase
23643516,7,Yao,2013,62,22,-50,62,ADMCI,Increase
23643516,7,Yao,2013,62,16,-44,72,ADMCI,Increase
23643516,7,Yao,2013,62,-6,32,-10,ADMCI,Increase
23643516,7,Yao,2013,62,-20,34,-14,ADMCI,Increase
23643516,7,Yao,2013,62,16,-42,72,ADMCI,Increase
23643516,7,Yao,2013,62,24,-50,64,ADMCI,Increase
23643516,7,Yao,2013,62,36,-48,64,ADMCI,Increase
23643516,7,Yao,2013,62,34,-74,-4,ADMCI,Increase
23643516,7,Yao,2013,62,20,-84,-6,ADMCI,Increase
23643516,7,Yao,2013,62,44,-70,-4,ADMCI,Increase
23643516,7,Yao,2013,62,-20,-46,72,ADMCI,Increase
23643516,7,Yao,2013,62,-14,-40,72,ADMCI,Increase
23643516,7,Yao,2013,62,-12,-58,56,ADMCI,Increase
24123475,7,Gour,2014,28,56,2,24,ADMCI,Increase
24123475,7,Gour,2014,28,58,18,6,ADMCI,Increase
24123475,7,Gour,2014,28,40,20,4,ADMCI,Increase
24123475,7,Gour,2014,28,44,12,10,ADMCI,Increase
24123475,6,Gour,2014,28,-28,8,8,ADMCI,Increase
24123475,6,Gour,2014,28,-46,22,12,ADMCI,Increase
24123475,6,Gour,2014,28,-46,16,14,ADMCI,Increase
24123475,6,Gour,2014,28,-26,40,-18,ADMCI,Increase
24123475,6,Gour,2014,28,-30,60,14,ADMCI,Increase
24123475,6,Gour,2014,28,44,30,6,ADMCI,Increase
24123475,6,Gour,2014,28,22,22,-2,ADMCI,Increase
24123475,6,Gour,2014,28,44,14,-2,ADMCI,Increase
24123475,6,Gour,2014,28,44,30,-8,ADMCI,Increase
24123475,6,Gour,2014,28,4,6,72,ADMCI,Increase
24123475,6,Gour,2014,28,0,12,36,ADMCI,Increase
24123475,6,Gour,2014,28,6,20,42,ADMCI,Increase
24123475,6,Gour,2014,28,20,14,4,ADMCI,Increase
24123475,6,Gour,2014,28,44,32,-8,ADMCI,Increase
24123475,6,Gour,2014,28,30,22,-10,ADMCI,Increase
24123475,6,Gour,2014,28,-16,44,-18,ADMCI,Increase
24123475,6,Gour,2014,28,-14,30,-22,ADMCI,Increase
24123475,6,Gour,2014,28,-44,50,-6,ADMCI,Increase
24123475,6,Gour,2014,28,-28,8,8,ADMCI,Increase
24123475,6,Gour,2014,28,-40,0,2,ADMCI,Increase
24123475,6,Gour,2014,28,-22,18,-4,ADMCI,Increase
24123475,6,Gour,2014,28,-40,14,-20,ADMCI,Increase
24484280,6,Weiler,2014,48,-56,17,27,ADMCI,Increase
24484280,6,Weiler,2014,48,60,-21,36,ADMCI,Increase
24990445,5,Balachandar,2015,30,45,55,31,ADMCI,Increase
24990445,5,Balachandar,2015,30,15,55,33,ADMCI,Increase
25043909,2,Pasquini,2015,43,26,-11,-22,ADMCI,Increase
25043909,2,Pasquini,2015,43,31,-13,-26,ADMCI,Increase
19765560,5,Bai,2009,56,-9,57,-12,ADMCI,Increase
19765560,5,Bai,2009,56,3,57,-15,ADMCI,Increase
19765560,5,Bai,2009,56,-6,36,33,ADMCI,Increase
19765560,5,Bai,2009,56,-39,33,-18,ADMCI,Increase
19765560,5,Bai,2009,56,-39,-18,-30,ADMCI,Increase
20930266,5,Bai,2011,44,3,-57,12,ADMCI,Increase
20930266,5,Bai,2011,44,-3,-63,9,ADMCI,Increase
21982164,5,Jin,2012,16,8,46,36,ADMCI,Increase
21982164,5,Jin,2012,16,-46,-42,54,ADMCI,Increase
21982164,5,Jin,2012,16,-2,-30,36,ADMCI,Increase
21982164,5,Jin,2012,16,4,-28,36,ADMCI,Increase
22005016,5,Han,2012,80,-45,-27,-27,ADMCI,Increase
22005016,5,Han,2012,80,-6,30,-27,ADMCI,Increase
22005016,5,Han,2012,80,60,12,24,ADMCI,Increase
22005016,5,Han,2012,80,-57,-9,36,ADMCI,Increase
22451310,6,Liang,2012,32,-36,57,21,ADMCI,Increase
22451310,6,Liang,2012,32,-45,21,39,ADMCI,Increase
22451310,5,Liang,2012,32,-15,-6,21,ADMCI,Increase
22451310,5,Liang,2012,32,-6,12,3,ADMCI,Increase
22451310,5,Liang,2012,32,-15,12,12,ADMCI,Increase
