PMID,Seed_cambridge,Author ,Year,subjects,x,y,z,Contrast,Direction
18786570,5,Zhang,2009,32,-13,54,23,AD,Increase
18786570,5,Zhang,2009,32,-45,33,48,AD,Increase
18786570,5,Zhang,2009,32,-45,24,18,AD,Increase
18786570,5,Zhang,2009,32,-51,3,15,AD,Increase
18786570,5,Zhang,2009,32,57,42,24,AD,Increase
18786570,5,Zhang,2009,32,12,57,-15,AD,Increase
18786570,5,Zhang,2009,32,-33,-9,-36,AD,Increase
20656843,5,Zhang,2010,27,-33,-13,43,AD,Increase
20656843,5,Zhang,2010,27,-39,-15,42,AD,Increase
20656843,5,Zhang,2010,27,51,24,9,AD,Increase
20656843,5,Zhang,2010,27,15,9,51,AD,Increase
20656843,5,Zhang,2010,27,-12,39,54,AD,Increase
20656843,5,Zhang,2010,27,37,-85,30,AD,Increase
20656843,5,Zhang,2010,27,-52,-61,45,AD,Increase
20656843,5,Zhang,2010,27,-30,-12,-21,AD,Increase
20656843,5,Zhang,2010,28,-15,0,51,AD,Increase
20656843,5,Zhang,2010,28,-30,33,34,AD,Increase
20656843,5,Zhang,2010,28,15,6,51,AD,Increase
20656843,5,Zhang,2010,28,18,-13,58,AD,Increase
20656843,5,Zhang,2010,28,-42,48,24,AD,Increase
20656843,5,Zhang,2010,28,51,28,12,AD,Increase
20656843,5,Zhang,2010,28,52,20,28,AD,Increase
20656843,5,Zhang,2010,28,-45,-35,49,AD,Increase
20656843,5,Zhang,2010,28,57,-39,42,AD,Increase
19833321,5,Sheline,2010,83,7.91,-102.08,8.86,AD,Increase
20410145,6,Zhou,2010,24,12,32,30,AD,Increase
20410145,6,Zhou,2010,24,-12,34,16,AD,Increase
20410145,6,Zhou,2010,24,10,34,-6,AD,Increase
20410145,6,Zhou,2010,24,-26,-12,10,AD,Increase
20410145,6,Zhou,2010,24,-18,-2,10,AD,Increase
20410145,6,Zhou,2010,24,-12,8,6,AD,Increase
20410145,6,Zhou,2010,24,12,32,30,AD,Increase
20410145,6,Zhou,2010,24,-12,34,16,AD,Increase
20410145,6,Zhou,2010,24,44,18,4,AD,Increase
20410145,6,Zhou,2010,24,-26,-12,10,AD,Increase
20410145,6,Zhou,2010,24,-18,-2,10,AD,Increase
20410145,6,Zhou,2010,24,-12,8,6,AD,Increase
20410145,6,Zhou,2010,24,26,18,8,AD,Increase
21840627,5,Damoiseaux,2012,39,-10,58,4,AD,Increase
21840627,5,Damoiseaux,2012,39,24,36,44,AD,Increase
21840627,5,Damoiseaux,2012,39,-8,22,56,AD,Increase
21840627,5,Damoiseaux,2012,39,-6,-56,54,AD,Increase
21840627,5,Damoiseaux,2012,39,4,-58,40,AD,Increase
22189566,2,Kenny,2012,32,53.08,-30.69,24.89,AD,Increase
22189566,2,Kenny,2012,32,42.54,-37.15,24.28,AD,Increase
23418130,7,Balthazar,2014,37,18,20,38,AD,Increase
23418130,7,Balthazar,2014,37,-8,32,38,AD,Increase
23643516,7,Yao,2013,62,46,-56,2,AD,Increase
23643516,7,Yao,2013,62,34,-74,-4,AD,Increase
23643516,7,Yao,2013,62,20,-84,-8,AD,Increase
23643516,7,Yao,2013,62,-22,-48,0,AD,Increase
23643516,7,Yao,2013,62,-32,-68,-6,AD,Increase
23643516,7,Yao,2013,62,-28,-54,-2,AD,Increase
23643516,7,Yao,2013,62,-22,-64,60,AD,Increase
23643516,7,Yao,2013,62,-28,-50,64,AD,Increase
23643516,7,Yao,2013,62,-22,-55,66,AD,Increase
23643516,7,Yao,2013,62,34,-48,64,AD,Increase
23643516,7,Yao,2013,62,22,-50,62,AD,Increase
23643516,7,Yao,2013,62,16,-44,72,AD,Increase
23643516,7,Yao,2013,62,-6,32,-10,AD,Increase
23643516,7,Yao,2013,62,-20,34,-14,AD,Increase
23643516,7,Yao,2013,62,16,-42,72,AD,Increase
23643516,7,Yao,2013,62,24,-50,64,AD,Increase
23643516,7,Yao,2013,62,36,-48,64,AD,Increase
23643516,7,Yao,2013,62,34,-74,-4,AD,Increase
23643516,7,Yao,2013,62,20,-84,-6,AD,Increase
23643516,7,Yao,2013,62,44,-70,-4,AD,Increase
23643516,7,Yao,2013,62,-20,-46,72,AD,Increase
23643516,7,Yao,2013,62,-14,-40,72,AD,Increase
23643516,7,Yao,2013,62,-12,-58,56,AD,Increase
24123475,7,Gour,2014,28,56,2,24,AD,Increase
24123475,7,Gour,2014,28,58,18,6,AD,Increase
