,PMID,Author ,Year,Cambridge_Scale7_label,x,y,z
0,17133390,Wang,2007,5,,,
1,18786570,Zhang,2009,5,,,
2,20656843,Zhang,2010,5,,,
3,20656843,Zhang,2010,5,,,
4,19833321,Sheline,2010,5,,,
5,19833321,Sheline,2010,5,,,
6,20410145,Zhou,2010,5,,,
7,20410145,Zhou,2010,6,,,
8,20639384,Gili,2011,5,,,
9,20639384,Gili,2011,5,,,
10,22189566,Kenny,2012,2,,,
11,22189566,Kenny,2012,2,,,
12,22189566,Kenny,2012,5,,,
13,22189566,Kenny,2012,5,,,
14,22189566,Kenny,2012,5,,,
15,22189566,Kenny,2012,5,,,
16,22189566,Kenny,2012,4,,,
17,22189566,Kenny,2012,4,,,
18,23313926,Zhu,2013,5,,,
19,23313926,Zhu,2013,5,,,
20,23313926,Zhu,2013,2,,,
21,23313926,Zhu,2013,2,,,
22,23643516,Yao,2013,2,,,
23,23643516,Yao,2013,2,,,
24,23643516,Zhou,2013,7,,,
25,23643516,Zhou,2013,7,,,
26,23643516,Zhang,2014,7,,,
27,23643516,Zhang,2014,7,,,
28,24123475,Gour,2014,5,,,
29,24123475,Gour,2014,0,-24.0,-10.0,22.0
30,24123475,Gour,2014,2,,,
31,24123475,Gour,2014,6,,,
32,24123475,Gour,2014,6,,,
33,24484280,Weiler,2014,5,,,
34,24484280,Weiler,2014,5,,,
35,24484280,Weiler,2014,7,,,
36,24484280,Weiler,2014,6,,,
37,24484280,Weiler,2014,6,,,
38,24484280,Weiler,2014,4,,,
39,24484280,Weiler,2014,4,,,
40,21259382,Wu,2011,5,,,
41,21259382,Wu,2011,5,,,
42,21259382,Wu,2011,5,,,
43,21259382,Wu,2011,6,,,
44,21259382,Wu,2011,5,,,
45,21259382,Wu,2011,5,,,
46,21259382,Wu,2011,2,,,
47,21259382,Wu,2011,2,,,
48,21259382,Wu,2011,6,,,
49,21259382,Wu,2011,5,,,
50,21259382,Wu,2011,5,,,
51,21259382,Wu,2011,6,,,
52,21259382,Wu,2011,5,,,
53,21259382,Wu,2011,5,,,
54,21259382,Li,2012,6,,,
55,21259382,Li,2012,6,,,
56,21259382,Li,2012,6,,,
57,21259382,Li,2012,6,,,
58,21259382,Li,2012,6,,,
59,21259382,Li,2012,5,,,
60,21259382,Li,2012,6,,,
61,21259382,Li,2012,6,,,
62,21259382,Li,2012,6,,,
63,21259382,Li,2012,6,,,
64,21259382,Li,2012,5,,,
65,21259382,Li,2012,5,,,
66,21259382,Li,2012,6,,,
67,21259382,Li,2012,5,,,
68,21259382,Li,2012,6,,,
69,21259382,Li,2012,6,,,
70,21259382,Li,2012,5,,,
71,21259382,Li,2012,6,,,
72,21259382,Li,2012,6,,,
73,21840627,Damoiseaux,2013,5,,,
74,21840627,Damoiseaux,2013,0,62.0,-64.0,20.0
75,21840627,Damoiseaux,2013,5,,,
76,21840627,Damoiseaux,2013,2,,,
77,21840627,Damoiseaux,2013,2,,,
78,21840627,Damoiseaux,2013,5,,,
79,21840627,Damoiseaux,2013,1,,,
80,21840627,Damoiseaux,2013,1,,,
81,21840627,Damoiseaux,2013,4,,,
82,21840627,Damoiseaux,2013,1,,,
83,21840627,Damoiseaux,2013,5,,,
84,21840627,Damoiseaux,2013,5,,,
85,21840627,Damoiseaux,2013,5,,,
86,21840627,Damoiseaux,2013,5,,,
87,21840627,Damoiseaux,2013,0,62.0,-40.0,52.0
88,21840627,Damoiseaux,2013,6,,,
89,21840627,Damoiseaux,2013,1,,,
90,21840627,Damoiseaux,2013,7,,,
91,21840627,Damoiseaux,2013,7,,,
92,21840627,Damoiseaux,2013,6,,,
93,21840627,Damoiseaux,2013,7,,,
94,21840627,Damoiseaux,2013,5,,,
95,21840627,Damoiseaux,2013,0,56.0,16.0,-16.0
96,21840627,Damoiseaux,2013,6,,,
97,21840627,Damoiseaux,2013,5,,,
98,21840627,Damoiseaux,2013,6,,,
99,21840627,Damoiseaux,2013,6,,,
100,21840627,Damoiseaux,2013,0,54.0,-82.0,14.0
101,21840627,Damoiseaux,2013,6,,,
102,21840627,Damoiseaux,2013,0,56.0,16.0,34.0
103,21840627,Damoiseaux,2013,6,,,
104,21840627,Damoiseaux,2013,4,,,
105,21840627,Damoiseaux,2013,1,,,
106,21840627,Damoiseaux,2013,7,,,
107,21840627,Damoiseaux,2013,7,,,
108,21840627,Damoiseaux,2013,1,,,
109,21840627,Damoiseaux,2013,5,,,
110,21840627,Damoiseaux,2013,5,,,
111,21840627,Damoiseaux,2013,1,,,
112,21840627,Damoiseaux,2013,7,,,
113,21840627,Damoiseaux,2013,2,,,
114,21840627,Damoiseaux,2013,1,,,
115,21840627,Damoiseaux,2013,6,,,
116,21840627,Damoiseaux,2013,0,10.0,-28.0,-32.0
117,21840627,Damoiseaux,2013,4,,,
118,21840627,Damoiseaux,2013,7,,,
119,21840627,Damoiseaux,2013,6,,,
120,21840627,Damoiseaux,2013,3,,,
121,21840627,Damoiseaux,2013,0,4.0,30.0,64.0
122,21840627,Damoiseaux,2013,4,,,
123,21840627,Damoiseaux,2013,5,,,
124,21840627,Damoiseaux,2013,6,,,
125,21840627,Damoiseaux,2013,6,,,
126,21840627,Damoiseaux,2013,5,,,
127,21840627,Damoiseaux,2013,0,16.0,-24.0,-4.0
128,21840627,Damoiseaux,2013,0,10.0,24.0,0.0
129,21840627,Damoiseaux,2013,6,,,
130,21840627,Damoiseaux,2013,1,,,
131,21840627,Damoiseaux,2013,0,-14.0,-24.0,-4.0
132,21840627,Damoiseaux,2013,6,,,
133,21840627,Damoiseaux,2013,7,,,
134,21862179,Binnewijzend,2012,6,,,
135,21862179,Binnewijzend,2012,6,,,
136,21862179,Binnewijzend,2012,3,,,
137,21862179,Binnewijzend,2012,4,,,
138,21862179,Binnewijzend,2012,4,,,
139,21862179,Binnewijzend,2012,1,,,
140,21862179,Binnewijzend,2012,7,,,
141,21862179,Binnewijzend,2012,5,,,
142,21862179,Binnewijzend,2012,6,,,
143,21862179,Binnewijzend,2012,7,,,
144,21862179,Binnewijzend,2012,7,,,
145,21862179,Binnewijzend,2012,5,,,
146,21862179,Binnewijzend,2012,5,,,
147,23418130,Balthazar,2014,6,,,
148,23418130,Balthazar,2014,5,,,
149,23418130,Balthazar,2014,7,,,
150,23418130,Balthazar,2014,7,,,
151,24990445,Balachandar,2015,5,,,
152,24990445,Balachandar,2015,7,,,
153,24990445,Balachandar,2015,5,,,
154,25043909,Pasquini,2015,5,,,
155,25043909,Pasquini,2015,5,,,
156,25043909,Pasquini,2015,5,,,
157,25043909,Pasquini,2015,6,,,
158,25043909,Pasquini,2015,5,,,
159,25043909,Pasquini,2015,5,,,
160,25043909,Pasquini,2015,2,,,
161,25043909,Pasquini,2015,1,,,
162,25043909,Pasquini,2015,1,,,
163,25043909,Pasquini,2015,2,,,
164,25043909,Pasquini,2015,2,,,
165,25043909,Pasquini,2015,0,17.0,-14.0,-22.0
166,25043909,Pasquini,2015,2,,,
167,25043909,Pasquini,2015,5,,,
168,25043909,Pasquini,2015,5,,,
169,25043909,Pasquini,2015,0,-3.0,-29.0,-28.0
170,25043909,Pasquini,2015,0,3.0,-29.0,-28.0
171,25043909,Pasquini,2015,5,,,
172,25043909,Pasquini,2015,5,,,
173,25043909,Pasquini,2015,1,,,
174,25043909,Pasquini,2015,5,,,
175,25080229,Adriaanse,2014,4,,,
176,25080229,Adriaanse,2014,5,,,
177,25080229,Adriaanse,2014,4,,,
178,25080229,Adriaanse,2014,5,,,
179,25080229,Adriaanse,2014,7,,,
180,25080229,Adriaanse,2014,6,,,
181,25080229,Adriaanse,2014,6,,,
182,25080229,Adriaanse,2014,3,,,
183,25745400,Yi,2015,5,,,
184,25745400,Yi,2015,7,,,
0,19765560,Bai,2009,5,,,
1,20639384,Gili,2011,5,,,
2,20639384,Gili,2011,5,,,
3,20930266,Bai,2011,5,,,
4,25511078,Xie,2014,3,,,
5,25511078,Xie,2014,6,,,
6,25511078,Xie,2014,6,,,
7,25511078,Xie,2014,6,,,
8,25511078,Xie,2014,6,,,
9,25511078,Xie,2014,7,,,
10,25511078,Xie,2014,7,,,
11,25511078,Xie,2014,2,,,
12,22005016,Han,2012,5,,,
13,22451310,Liang,2012,6,,,
14,22451310,Liang,2012,6,,,
15,22451310,Liang,2012,6,,,
16,22451310,Liang,2012,5,,,
17,22451310,Liang,2012,6,,,
18,22451310,Liang,2012,7,,,
19,22451310,Liang,2012,6,,,
20,22451310,Liang,2012,5,,,
21,22451310,Liang,2012,7,,,
22,22451310,Liang,2012,6,,,
23,22451310,Liang,2012,5,,,
24,25444600,Das,2015,2,,,
25,25444600,Das,2015,2,,,
26,25444600,Das,2015,2,,,
27,25444600,Das,2015,2,,,
28,25444600,Das,2015,2,,,
29,25444600,Das,2015,2,,,
30,25444600,Das,2015,2,,,
31,25444600,Das,2015,2,,,
32,25444600,Das,2015,2,,,
33,25444600,Das,2015,2,,,
34,25547636,Gardini,2015,5,,,
35,25547636,Gardini,2015,5,,,
36,23313926,Zhu,2013,5,,,
37,23313926,Zhu,2013,5,,,
38,23313926,Zhu,2013,2,,,
39,23313926,Zhu,2013,2,,,
40,18003904,Sorg,2007,4,,,
41,18003904,Sorg,2007,4,,,
42,18003904,Sorg,2007,7,,,
43,18003904,Sorg,2007,6,,,
44,18003904,Sorg,2007,6,,,
45,18003904,Sorg,2007,5,,,
46,18003904,Sorg,2007,3,,,
47,18003904,Sorg,2007,7,,,
48,21982164,Jin,2012,5,,,
49,23668966,Hahn,2013,5,,,
50,23668966,Hahn,2013,5,,,
51,23668966,Hahn,2013,6,,,
52,23668966,Hahn,2013,7,,,
53,23668966,Hahn,2013,6,,,
54,23668966,Hahn,2013,6,,,
55,23668966,Hahn,2013,7,,,
56,23668966,Hahn,2013,4,,,
57,24771519,Myers,2014,5,,,
58,24771519,Myers,2014,5,,,
59,24771519,Myers,2014,5,,,
60,24771519,Myers,2014,5,,,
61,24771519,Myers,2014,6,,,
62,24771519,Myers,2014,0,-42.0,-60.0,28.0
63,24771519,Myers,2014,5,,,
64,24771519,Myers,2014,5,,,
65,24771519,Myers,2014,0,6.0,-66.0,34.0
66,24771519,Myers,2014,5,,,
67,24771519,Myers,2014,5,,,
68,24771519,Myers,2014,6,,,
69,24771519,Myers,2014,6,,,
70,24771519,Myers,2014,5,,,
71,24771519,Myers,2014,5,,,
72,24771519,Myers,2014,5,,,
73,24771519,Myers,2014,5,,,
74,24771519,Myers,2014,5,,,
75,24771519,Myers,2014,5,,,
76,24771519,Myers,2014,5,,,
77,24771519,Myers,2014,5,,,
78,24771519,Myers,2014,5,,,
79,24771519,Myers,2014,5,,,
80,24771519,Myers,2014,5,,,
81,24771519,Myers,2014,5,,,
82,24771519,Myers,2014,5,,,
83,24771519,Myers,2014,6,,,
84,24771519,Myers,2014,6,,,
85,24771519,Myers,2014,5,,,
86,24771519,Myers,2014,5,,,
87,24771519,Myers,2014,1,,,
88,24771519,Myers,2014,6,,,
89,24771519,Myers,2014,6,,,
90,24771519,Myers,2014,5,,,
91,24771519,Myers,2014,6,,,
92,24771519,Myers,2014,1,,,
93,24771519,Myers,2014,6,,,
94,24771519,Myers,2014,5,,,
95,24771519,Myers,2014,0,24.0,16.0,66.0
96,24771519,Myers,2014,2,,,
97,24771519,Myers,2014,5,,,
98,24771519,Myers,2014,5,,,
99,24771519,Myers,2014,6,,,
100,24771519,Myers,2014,2,,,
101,24771519,Myers,2014,6,,,
102,24771519,Myers,2014,1,,,
103,24771519,Myers,2014,6,,,
104,24771519,Myers,2014,4,,,
105,24771519,Myers,2014,6,,,
106,24771519,Myers,2014,6,,,
107,24771519,Myers,2014,6,,,
108,24771519,Myers,2014,6,,,
109,24771519,Myers,2014,6,,,
110,24771519,Myers,2014,6,,,
111,24771519,Myers,2014,6,,,
112,24771519,Myers,2014,5,,,
113,24771519,Myers,2014,6,,,
114,24771519,Myers,2014,7,,,
115,24771519,Myers,2014,6,,,
116,24771519,Myers,2014,2,,,
117,24771519,Myers,2014,6,,,
118,24771519,Myers,2014,6,,,
119,24771519,Myers,2014,6,,,
120,24771519,Myers,2014,7,,,
121,24771519,Myers,2014,7,,,
122,24771519,Myers,2014,7,,,
123,24771519,Myers,2014,7,,,
124,24771519,Myers,2014,0,0.0,20.0,16.0
125,24771519,Myers,2014,7,,,
126,24771519,Myers,2014,7,,,
127,24771519,Myers,2014,7,,,
128,24996404,Koch,2015,5,,,
129,24996404,Koch,2015,5,,,
130,24996404,Koch,2015,5,,,
131,24996404,Koch,2015,5,,,
132,24996404,Koch,2015,6,,,
133,24996404,Koch,2015,5,,,
134,24996404,Koch,2015,5,,,
135,24996404,Koch,2015,5,,,
136,24996404,Koch,2015,0,6.0,-66.0,34.0
137,24996404,Koch,2015,5,,,
138,24996404,Koch,2015,5,,,
139,24996404,Koch,2015,6,,,
140,24996404,Koch,2015,6,,,
141,24996404,Koch,2015,5,,,
142,24996404,Koch,2015,5,,,
143,24996404,Koch,2015,5,,,
144,24996404,Koch,2015,5,,,
145,24996404,Koch,2015,5,,,
146,24996404,Koch,2015,5,,,
147,24996404,Koch,2015,5,,,
148,24996404,Koch,2015,5,,,
149,24996404,Koch,2015,5,,,
150,24996404,Koch,2015,5,,,
151,24996404,Koch,2015,5,,,
152,24996404,Koch,2015,5,,,
153,24996404,Koch,2015,5,,,
154,24996404,Koch,2015,5,,,
155,24996404,Koch,2015,6,,,
