PMID,Author ,Year,Cambridge_Scale7_label,x,y,z
17133390,Wang,2007,5,,,
18786570,Zhang,2009,5,,,
20656843,Zhang,2010,5,,,
20656843,Zhang,2010,5,,,
19833321,Sheline,2010,5,,,
19833321,Sheline,2010,5,,,
20410145,Zhou,2010,5,,,
20410145,Zhou,2010,6,,,
20639384,Gili,2011,5,,,
20639384,Gili,2011,5,,,
22189566,Kenny,2012,2,,,
22189566,Kenny,2012,2,,,
22189566,Kenny,2012,5,,,
22189566,Kenny,2012,5,,,
22189566,Kenny,2012,5,,,
22189566,Kenny,2012,5,,,
22189566,Kenny,2012,4,,,
22189566,Kenny,2012,4,,,
23313926,Zhu,2013,5,,,
23313926,Zhu,2013,5,,,
23313926,Zhu,2013,2,,,
23313926,Zhu,2013,2,,,
23643516,Yao,2013,2,,,
23643516,Yao,2013,2,,,
23643516,Zhou,2013,7,,,
23643516,Zhou,2013,7,,,
23643516,Zhang,2014,7,,,
23643516,Zhang,2014,7,,,
24123475,Gour,2014,5,,,
24123475,Gour,2014,0,-24,-10,22
24123475,Gour,2014,2,,,
24123475,Gour,2014,6,,,
24123475,Gour,2014,6,,,
24484280,Weiler,2014,5,,,
24484280,Weiler,2014,5,,,
24484280,Weiler,2014,7,,,
24484280,Weiler,2014,6,,,
24484280,Weiler,2014,6,,,
24484280,Weiler,2014,4,,,
24484280,Weiler,2014,4,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,6,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,2,,,
21259382,Wu,2011,2,,,
21259382,Wu,2011,6,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,6,,,
21259382,Wu,2011,5,,,
21259382,Wu,2011,5,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,5,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,5,,,
21259382,Li,2012,5,,,
21259382,Li,2012,6,,,
21259382,Li,2012,5,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21259382,Li,2012,5,,,
21259382,Li,2012,6,,,
21259382,Li,2012,6,,,
21840627,Damoiseaux,2013,5,,,
21840627,Damoiseaux,2013,0,62,-64,20
21840627,Damoiseaux,2013,5,,,
21840627,Damoiseaux,2013,2,,,
21840627,Damoiseaux,2013,2,,,
21840627,Damoiseaux,2013,5,,,
21840627,Damoiseaux,2013,1,,,
21840627,Damoiseaux,2013,1,,,
21840627,Damoiseaux,2013,4,,,
21840627,Damoiseaux,2013,1,,,
