PMID,Author ,Year,Cambridge_Scale7_label,x,y,z
19765560,Bai,2009,5,,,
20639384,Gili,2011,5,,,
20639384,Gili,2011,5,,,
20930266,Bai,2011,5,,,
25511078,Xie,2014,3,,,
25511078,Xie,2014,6,,,
25511078,Xie,2014,6,,,
25511078,Xie,2014,6,,,
25511078,Xie,2014,6,,,
25511078,Xie,2014,7,,,
25511078,Xie,2014,7,,,
25511078,Xie,2014,2,,,
22005016,Han,2012,5,,,
22451310,Liang,2012,6,,,
22451310,Liang,2012,6,,,
22451310,Liang,2012,6,,,
22451310,Liang,2012,5,,,
22451310,Liang,2012,6,,,
22451310,Liang,2012,7,,,
22451310,Liang,2012,6,,,
22451310,Liang,2012,5,,,
22451310,Liang,2012,7,,,
22451310,Liang,2012,6,,,
22451310,Liang,2012,5,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25444600,Das,2015,2,,,
25547636,Gardini,2015,5,,,
25547636,Gardini,2015,5,,,
23313926,Zhu,2013,5,,,
23313926,Zhu,2013,5,,,
23313926,Zhu,2013,2,,,
23313926,Zhu,2013,2,,,
18003904,Sorg,2007,4,,,
18003904,Sorg,2007,4,,,
18003904,Sorg,2007,7,,,
18003904,Sorg,2007,6,,,
18003904,Sorg,2007,6,,,
18003904,Sorg,2007,5,,,
18003904,Sorg,2007,3,,,
18003904,Sorg,2007,7,,,
21982164,Jin,2012,5,,,
23668966,Hahn,2013,5,,,
23668966,Hahn,2013,5,,,
23668966,Hahn,2013,6,,,
23668966,Hahn,2013,7,,,
23668966,Hahn,2013,6,,,
23668966,Hahn,2013,6,,,
23668966,Hahn,2013,7,,,
23668966,Hahn,2013,4,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,0,-42,-60,28
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,0,6,-66,34
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,1,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,1,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,0,24,16,66
24771519,Myers,2014,2,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,2,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,1,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,4,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,5,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,7,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,2,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,6,,,
24771519,Myers,2014,7,,,
24771519,Myers,2014,7,,,
24771519,Myers,2014,7,,,
24771519,Myers,2014,7,,,
24771519,Myers,2014,0,0,20,16
24771519,Myers,2014,7,,,
24771519,Myers,2014,7,,,
24771519,Myers,2014,7,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,0,6,-66,34
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,1,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,1,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,0,24,16,66
24996404,Koch,2015,2,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,2,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,1,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,4,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,5,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,7,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,2,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,6,,,
24996404,Koch,2015,7,,,
24996404,Koch,2015,7,,,
24996404,Koch,2015,7,,,
24996404,Koch,2015,7,,,
24996404,Koch,2015,0,0,20,16
24996404,Koch,2015,7,,,
24996404,Koch,2015,7,,,
24996404,Koch,2015,7,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,6,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,2,,,
25043909,Pasquini,2015,1,,,
25043909,Pasquini,2015,1,,,
25043909,Pasquini,2015,2,,,
25043909,Pasquini,2015,2,,,
25043909,Pasquini,2015,0,17,-14,-22
25043909,Pasquini,2015,2,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,0,-3,-29,-28
25043909,Pasquini,2015,0,3,-29,-28
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,5,,,
25043909,Pasquini,2015,1,,,
25043909,Pasquini,2015,5,,,
25745400,Yi,2015,5,,,
25745400,Yi,2015,7,,,
21862179,Binnewijzend,2012,6,,,
21862179,Binnewijzend,2012,6,,,
21862179,Binnewijzend,2012,3,,,
21862179,Binnewijzend,2012,4,,,
21862179,Binnewijzend,2012,4,,,
21862179,Binnewijzend,2012,1,,,
21862179,Binnewijzend,2012,7,,,
