,sex
PAN002_session_1,1
PAN003_session_1,2
PAN004_session_1,2
PAN005_session_1,1
PAN006_session_1,2
PAN007_session_1,1
PAN008_session_1,2
PAN009_session_1,2
PAN010_session_1,1
PAN011_session_1,2
PAN012_session_1,1
PAN013_session_1,1
PAN014_session_1,2
PAN015_session_1,2
PAN016_session_1,2
PAN018_session_1,2
PAN019_session_1,1
PAN020_session_1,1
PAN021_session_1,1
PAN022_session_1,2
PAN024_session_1,2
PAN025_session_1,1
PAN026_session_1,1
PAN027_session_1,2
PAN028_session_1,1
PAN029_session_1,2
PAN030_session_1,2
PAN031_session_1,1
PAN032_session_1,1
PAN033_session_1,2
PAN034_session_1,1
PAN035_session_1,2
PAN036_session_1,1
PAN037_session_1,1
PAN038_session_1,1
PAN039_session_1,2
PAN040_session_1,1
PAN041_session_1,2
PAN042_session_1,2
