,sex
A_A_2071574,2
A_A_2077226,2
A_B_2032532,2
A_B_2034451,2
A_B_2036679,1
A_B_2043076,2
A_B_2064231,2
A_B_2085393,2
A_B_2090414,2
A_C_2047400,2
A_C_2085368,2
A_D_2054080,2
A_D_2057034,1
A_E_2061812,2
A_F_2034454,2
A_F_2041888,2
A_F_2041889,2
A_F_2064686,2
A_G_2054086,1
A_G_2058223,1
A_I_2082285,1
A_L_2065306,2
A_L_2067474,2
A_L_2077221,2
A_L_2077222,2
A_L_2077894,2
A_L_2079872,2
A_M_2051300,1
A_M_2054760,2
A_M_2054761,2
A_M_2058890,2
A_N_2068590,2
A_P_2038290,2
A_P_2058893,2
A_R_2053028,2
A_R_2053030,1
A_R_2084201,2
A_T_2051890,2
ABL_2039584,2
ABT_2072235,1
AJP_2060198,2
ANO_2049386,1
ARV_2039589,2
ASA_2070322,2
ASL_2057032,1
B_E_2061226,1
B_G_2061815,1
B_L_2042673,2
B_R_2074089,2
BAK_2078553,1
C_A_2061810,2
C_A_2071579,2
C_B_2050531,2
C_B_2088976,2
C_C_2082281,2
C_D_2061225,2
C_D_2070959,2
C_D_2079893,1
C_G_2087118,2
C_G_2087119,2
C_J_2080359,2
C_K_2082788,2
C_L_1260833,2
C_L_2034448,2
C_L_2036098,2
C_L_2043822,2
C_L_2055947,1
C_M_2070964,1
C_M_2088974,2
C_N_2068592,2
C_R_2037289,1
C_R_2049900,2
C_T_2051889,2
C_T_2060675,2
C_T_2078554,2
CBM_2086487,2
CDE_2063671,2
CSL_1254810,1
CSP_2070961,2
D_A_2077225,1
D_B_2085392,1
D_C_2049389,1
D_C_2082280,2
D_L_1280104,2
D_L_2032012,2
D_L_2043073,1
D_P_2039586,1
D_P_2042675,1
D_P_2042676,1
D_T_2036100,1
DAK_2078552,1
DCM_2069690,2
DTC_1416799,1
E_A_2069701,1
E_C_2037802,2
E_C_2052298,1
E_C_2076689,2
E_D_2077892,1
E_G_2048018,1
E_K_2082789,2
E_L_2043074,1
E_L_2043823,2
E_M_2046220,2
E_M_2085879,1
E_P_2083558,2
E_R_2037194,2
E_R_2049899,2
E_R_2074090,2
E_R_2087767,2
E_T_2048019,2
E_T_2048020,1
EAH_2076693,2
EBL_2039585,1
EBM_2086488,2
EGT_2063675,2
EMS_2075230,2
ENH_2049391,1
ERB_2066405,2
F_B_2054083,2
F_C_2060677,1
F_E_2072774,2
F_G_2061814,1
F_G_2089781,1
F_L_2042672,2
F_L_2088972,1
F_M_2064680,2
F_M_2070318,1
F_M_2088970,1
F_P_2039587,1
F_S_2063674,1
FBC_2040107,1
FKO_2077895,1
FMB_2046817,1
G_A_2069699,1
G_A_2071578,2
G_B_2034449,1
G_B_2073423,1
G_C_2053034,2
G_C_2058859,2
G_D_2061224,2
G_E_2072773,2
G_J_2061221,1
G_L_2034447,1
G_L_2036681,1
G_P_2079874,1
G_S_2042677,1
G_T_2075227,1
G_T_2084757,1
GDE_2063672,2
H_M_2032531,1
I_M_2058891,2
I_M_2088973,2
I_P_2039048,2
IRT_2049901,1
J_B_2061222,1
