,id,nofamill,sexe,handedness,zygotie
CL2036098,200103,2001,0,2,0
MP2088476,167303,1673,0,1,0
JP2088475,167302,1673,0,1,0
MAL2087113,165803,1658,1,1,1
SL2087112,165802,1658,1,0,1
FL2088972,165403,1654,1,1,1
ML2088971,165402,1654,1,1,1
CB2088976,165203,1652,0,1,1
NB2088975,165202,1652,0,1,1
RJ2087770,163303,1633,0,1,0
VJ2087769,163302,1633,1,0,0
KD2087772,163102,1631,0,1,1
SBL2086492,162303,1623,0,1,0
JBL2086493,162302,1623,1,1,0
KAM2088969,161603,1616,0,1,0
FM2088970,161602,1616,1,1,0
XB2089784,161102,1611,1,1,0
ER2087767,160303,1603,0,1,0
FG2089781,160003,1600,1,1,1
MEM2085880,159703,1597,0,0,0
EM2085879,159702,1597,1,1,0
CG2087118,159403,1594,0,1,1
CG2087119,159402,1594,0,0,1
CBM2086487,157903,1579,0,1,1
EBM2086488,157902,1579,0,1,1
LP2083557,157403,1574,0,1,0
EP2083558,157402,1574,0,1,0
IM2088973,157303,1573,0,0,0
CM2088974,157302,1573,0,1,0
MT2084758,156503,1565,0,1,0
GT2084757,156502,1565,1,1,0
DB2085392,155503,1555,1,2,0
AC2085368,154803,1548,0,1,1
XL2084204,154602,1546,1,2,1
MA1299304,153603,1536,1,1,1
PA1299302,153602,1536,1,1,1
JP2087114,153503,1535,0,1,1
SP2087115,153502,1535,0,1,1
SB2090415,153002,1530,0,0,0
RL2085390,152903,1529,0,1,1
SL2085391,152902,1529,0,1,1
MER2086489,152803,1528,0,1,0
JR2086491,152802,1528,1,1,0
NC2080861,152203,1522,1,1,1
VC2080862,152202,1522,1,1,1
RDS2081618,151003,1510,0,1,0
RDS2081616,151002,1510,1,1,0
JNT2080858,150703,1507,1,1,1
SJT2080857,150702,1507,1,1,1
DTC1416799,150403,1504,1,1,1
RTC1416800,150402,1504,1,0,1
DC2082280,149903,1499,0,1,0
CC2082281,149902,1499,0,1,0
CD2079893,149803,1498,1,1,0
VD2079869,149802,1498,1,1,0
NI2082284,149103,1491,1,2,1
AI2082285,149102,1491,1,2,1
EK2082789,149003,1490,0,1,1
CK2082788,149002,1490,0,1,1
SG2080860,148903,1489,1,1,0
TG2080859,148902,1489,1,1,0
SC2082790,148403,1484,1,0,0
LC2082791,148402,1484,1,1,0
GP2079874,148003,1480,1,1,1
MP2079875,148002,1480,1,1,1
NR2084202,147603,1476,1,1,0
AR2084201,147602,1476,0,1,0
OA2081619,147303,1473,1,1,0
SA2081620,147302,1473,1,1,0
LB2083561,147203,1472,0,0,1
JB2083562,147202,1472,0,1,1
OL2080361,146602,1466,0,1,0
SV2076688,146303,1463,1,1,0
SL2077893,146003,1460,0,1,0
AL2077894,146002,1460,0,1,0
EMS2075230,145603,1456,0,1,1
PMS2075232,145602,1456,0,1,1
MG2084755,145103,1451,1,1,0
VG2084756,145102,1451,0,1,0
FKO2077895,144902,1449,1,2,0
TJ2080360,144802,1448,1,2,0
CT2078554,144403,1444,0,1,0
TT2078556,144402,1444,1,1,0
OL2079873,144303,1443,0,1,1
AL2079872,144302,1443,0,1,1
WBM2077223,144203,1442,1,2,0
JBM2077224,144202,1442,1,2,0
EC2076689,144003,1440,0,0,0
PC2076690,144002,1440,1,1,0
MC2082283,141903,1419,0,1,0
KC2082282,141902,1419,0,1,0
DA2077225,141603,1416,1,2,0
MB2076696,141403,1414,0,1,1
SG1294342,141103,1411,0,1,1
RG1294341,141102,1411,0,1,1
EAH2076693,140803,1408,0,1,1
GT2075227,140503,1405,1,0,1
MT1423814,140502,1405,1,1,1
VG2083559,138803,1388,0,1,1
NG2083560,138802,1388,0,1,1
AL2077222,138603,1386,0,1,1
DAK2078552,137803,1378,1,1,1
BAK2078553,137802,1378,1,1,1
GB2073423,132303,1323,1,1,1
FM2070318,130903,1309,1,1,0
ND2070960,129803,1298,0,0,0
CD2070959,129802,1298,0,1,0
BR2074089,129403,1294,0,1,0
ER2074090,129402,1294,0,1,0
LL2069687,129203,1292,0,1,1
ML2069686,129202,1292,0,1,1
DL1280104,129003,1290,0,0,0
LL1280105,129002,1290,1,1,0
AF2064686,128503,1285,0,1,1
LF2064685,128502,1285,0,1,1
MBB2070324,128403,1284,1,1,0
SBB2070323,128402,1284,0,1,0
GA2071578,128103,1281,0,2,1
CA2071579,128102,1281,0,1,1
